"Campaign name","Ad name","Delivery status","Delivery level","Ad Set Name","Result type",Results,Reach,Impressions,"Cost per result","Amount spent (USD)","Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)",Frequency,"CPC (all)","Post comments","Post engagements","Post reactions","Post shares","Unique 2-second continuous video plays","2-second continuous video plays","3-second video plays",ThruPlays,"Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Reporting starts","Reporting ends"
"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge","Video - Influencer Content - Jimbo - 5.1A - Homepage INTL",inactive,ad,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",,,399,516,,12.76,5,2.552,24.72868217,1.5503876,1.29323308,1.595,,160,,,,,155,27,42,14,8,6,4,4,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge","Video - Influencer Content - Evelyn - 3.2A - Homepage INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",,,239,336,,11.89,2,5.945,35.38690476,0.5952381,1.40585774,5.945,,82,,,,,80,10,18,9,8,5,5,6,2024-06-02,2024-07-11
"[US] BD - Prospecting - US - CBO - LC","GIF - Crystal - 1A - SPT CP",not_delivering,ad,"All Feeds - P(LC) - US - MW, 22-60 - SPT","Website purchases",1,239,327,7.93,7.93,2,3.965,24.25076453,0.6116208,1.36820084,3.965,,38,,,,,36,3,36,12,3,3,3,2,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge","Video - Influencer Content - Evelyn - 4.1A - Homepage INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",,,229,317,,12.57,4,3.1425,39.65299685,1.89274448,1.38427948,2.095,,95,1,,,,90,17,26,11,7,6,5,4,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge","Video - Influencer Content - Evelyn - 3.1A - Homepage INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",,,211,277,,4.64,,,16.75090253,0,1.31279621,,,56,,,,,56,4,9,4,2,1,1,3,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - Lo-Fi","Video - Influencer Content - Jimbo - 1.1.2A - Homepage INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",,,259,271,,9.03,4,2.2575,33.32103321,1.47601476,1.04633205,2.2575,,82,1,,,,77,12,16,12,9,7,6,4,2024-06-02,2024-07-11
"[US] BD - Prospecting - US - CBO - LC","GIF - Espresso Crystal - 1A - SPT CP",not_delivering,ad,"All Feeds - P(LC) - US - MW, 22-60 - SPT",,,210,264,,5.55,,,21.02272727,0,1.25714286,,,19,,,,,19,2,18,4,3,2,1,1,2024-06-02,2024-07-11
"[US] BD - Prospecting - US - CBO - LC","GIF - Mahogany Tortoise - 1A - SPT CP",not_delivering,ad,"All Feeds - P(LC) - US - MW, 22-60 - SPT",,,177,220,,4.73,1,4.73,21.5,0.45454545,1.24293785,4.73,,21,,,,,20,3,19,9,3,3,3,1,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge","Video - Influencer Content - Evelyn - 2.1A - Homepage INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",,,161,195,,6.22,4,1.555,31.8974359,2.56410256,1.21118012,1.244,,63,,,,,59,8,12,8,3,3,1,3,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - Lo-Fi","Video - Influencer Content - Jimbo - 1.3.1A - Homepage INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",,,102,105,,2.47,2,1.235,23.52380952,3.80952381,1.02941176,0.6175,,45,,,,,43,3,7,3,2,2,2,4,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - Lo-Fi","Video - Influencer Content - Jimbo - 1.3.2A - Homepage INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",,,79,87,,3.01,,,34.59770115,1.14942529,1.10126582,3.01,,31,,,,,31,6,8,4,3,3,3,5,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - Lo-Fi","Video - Influencer Content - Jimbo - 1.2.2A - Homepage INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",,,55,58,,1.78,,,30.68965517,0,1.05454545,,,18,,,,,18,3,4,3,,,,4,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - Lo-Fi","Video - Influencer Content - Jimbo - 5.1A - Homepage INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",,,35,38,,0.96,1,0.96,25.26315789,2.63157895,1.08571429,0.96,,8,,,,,7,1,3,,,,,2,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - Lo-Fi","Video - Influencer Content - Jimbo - 1.2.1A - Sunglasses INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",,,25,28,,1.25,1,1.25,44.64285714,3.57142857,1.12,1.25,,7,,,,,6,1,1,1,,,,3,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - Lo-Fi","Video - Influencer Content - Jimbo - 1.2.1A - Homepage INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",,,26,27,,1.37,,,50.74074074,0,1.03846154,,,10,,,,,10,1,1,1,1,,,3,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - Lo-Fi","Video - Influencer Content - Jimbo - 1.1.1A - Homepage INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",,,23,26,,1.03,1,1.03,39.61538462,3.84615385,1.13043478,1.03,,6,,,,,5,,1,,,,,3,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - Lo-Fi","Video - Influencer Content - Jimbo - 1.3.1A - Sunglasses INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",,,19,19,,0.37,,,19.47368421,5.26315789,1,0.37,,8,,,,,8,2,2,2,2,1,1,6,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - Lo-Fi","Video - Influencer Content - Jimbo - 5.3A - Homepage INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",,,16,16,,0.68,,,42.5,0,1,,,3,,,,,3,,1,,,,,2,2024-06-02,2024-07-11
"[US] BD - ASC+ - Prospecting - US - Lo-Fi","Video - Influencer Content - Jimbo - 5.2A - Homepage INTL",active,ad,"[US] BD - ASC+ - Prospecting - US - Lo-Fi Ad Set",,,2,2,,0.16,,,80,50,1,0.16,,1,,,,,1,1,1,,,,,22,2024-06-02,2024-07-11
