Ads,Age,Gender,Day,Reach,Impressions,Frequency,Currency,"Amount spent (USD)","Attribution setting","Clicks (all)","CPC (all)","CTR (all)","Gross impressions (includes invalid impressions from non-human traffic)","CPM (cost per 1,000 impressions)","Page engagement","Follows or likes","Post comments","Post engagements","Post reactions","Post shares","Cost per Page engagement","Cost per follow or like","Cost per post engagement","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per 3-second video play","Link clicks","CTR (link click-through rate)","CPC (cost per link click)","Adds to cart","Cost per add to cart","Adds to wishlist","Cost per add to wishlist","Content views","Cost per content view","Content views conversion value",Purchases,"Cost per purchase","Purchases conversion value","Reporting starts","Reporting ends"
"Us vs Them - Static - LP",25-34,male,2024-06-30,5,6,1.2,USD,0.07051647,"7-day click",,,,6,11.75274484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Us vs Them - Static - LP",35-44,female,2024-06-30,30,39,1.3,USD,0.87641897,"7-day click",,,,39,22.47228134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Us vs Them - Static - LP",35-44,male,2024-06-30,16,20,1.25,USD,0.40295125,"7-day click",,,,20,20.14756258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Us vs Them - Static - LP",35-44,unknown,2024-06-30,1,1,1,USD,0.03022134,"7-day click",,,,1,30.22134387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Us vs Them - Static - LP",45-54,female,2024-06-30,57,65,1.14035088,USD,2.57888801,"7-day click",,,,65,39.67520016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Us vs Them - Static - LP",45-54,male,2024-06-30,49,64,1.30612245,USD,2.29682213,"7-day click",,,,64,35.88784585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Us vs Them - Static - LP",55-64,female,2024-06-30,92,132,1.43478261,USD,4.88578393,"7-day click",1,4.88578393,0.75757576,133,37.01351459,1,,,1,1,,4.88578393,,4.88578393,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Us vs Them - Static - LP",55-64,male,2024-06-30,113,176,1.55752212,USD,6.34648221,"7-day click",3,2.11549407,1.70454545,175,36.05955803,1,,,1,1,,6.34648221,,6.34648221,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Us vs Them - Static - LP",65+,female,2024-06-30,205,281,1.37073171,USD,11.69566008,"7-day click",7,1.67080858,2.4911032,280,41.62156612,4,,,4,,,2.92391502,,2.92391502,,,,,,,,4,1.42348754,2.92391502,,,,,,,,,,,2024-04-01,2024-06-30
"Us vs Them - Static - LP",65+,male,2024-06-30,162,215,1.32716049,USD,7.83740184,"7-day click",2,3.91870092,0.93023256,214,36.45303184,1,,,1,,,7.83740184,,7.83740184,,,,,,,,1,0.46511628,7.83740184,,,,,,,,,,,2024-04-01,2024-06-30
"Us vs Them - Static - LP",65+,unknown,2024-06-30,6,12,2,USD,0.38280369,"7-day click",,,,12,31.90030742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",18-24,female,2024-06-30,7,9,1.28571429,USD,0.12049128,"7-day click",,,,9,13.38792041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",25-34,female,2024-06-30,18,18,1,USD,0.45184231,"7-day click",,,,18,25.10235077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",25-34,male,2024-06-30,6,7,1.16666667,USD,0.13053222,"7-day click",1,0.13053222,14.28571429,7,18.64746057,1,,,1,,,0.13053222,,0.13053222,,,,,,,,1,14.28571429,0.13053222,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",25-34,unknown,2024-06-30,1,1,1,USD,,"7-day click",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",35-44,female,2024-06-30,59,90,1.52542373,USD,1.65675515,"7-day click",,,,89,18.40839056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",35-44,male,2024-06-30,24,34,1.41666667,USD,0.64262018,"7-day click",,,,34,18.90059352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",35-44,unknown,2024-06-30,1,1,1,USD,0.01004094,"7-day click",,,,1,10.04094031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",45-54,female,2024-06-30,153,207,1.35294118,USD,5.93419572,"7-day click",4,1.48354893,1.93236715,206,28.66761218,2,,,2,,,2.96709786,,2.96709786,,,,,,,,2,0.96618357,2.96709786,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",45-54,male,2024-06-30,76,113,1.48684211,USD,2.62068542,"7-day click",,,,121,23.19190637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",45-54,unknown,2024-06-30,6,7,1.16666667,USD,0.1004094,"7-day click",,,,7,14.34420044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",55-64,female,2024-06-30,277,389,1.40433213,USD,12.65158479,"7-day click",1,12.65158479,0.25706941,393,32.52335421,1,,,1,1,,12.65158479,,12.65158479,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",55-64,male,2024-06-30,149,254,1.70469799,USD,5.51247623,"7-day click",4,1.37811906,1.57480315,260,21.70266232,1,,,1,1,,5.51247623,,5.51247623,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",65+,female,2024-06-30,632,936,1.48101266,USD,31.26748811,"7-day click",8,3.90843601,0.85470085,951,33.40543602,5,,1,5,,,6.25349762,,6.25349762,,,,,,,,4,0.42735043,7.81687203,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",65+,male,2024-06-30,278,437,1.57194245,USD,14.77022319,"7-day click",4,3.6925558,0.91533181,446,33.79913774,3,,,3,1,,4.92340773,,4.92340773,,,,,,,,2,0.4576659,7.3851116,,,,,,,,,,,2024-04-01,2024-06-30
"Lifestyle 1 - Copy; Lifestyle 1;",65+,unknown,2024-06-30,6,6,1,USD,0.16065504,"7-day click",,,,6,26.77584082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",18-24,female,2024-06-30,5,5,1,USD,0.55289006,"7-day click",1,0.55289006,20,5,110.57801132,4,,,4,,,0.13822251,,0.13822251,3,,,,,,0.18429669,1,20,0.55289006,,,,,1,0.55289006,94.97,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",18-24,male,2024-06-30,2,2,1,USD,0.26136621,"7-day click",,,,2,130.68310428,1,,,1,,,0.26136621,,0.26136621,1,,,,,,0.26136621,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",25-34,female,2024-06-30,15,16,1.06666667,USD,0.36189167,"7-day click",1,0.36189167,6.25,16,22.61822959,8,,,8,,,0.04523646,,0.04523646,8,,,,,,0.04523646,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",25-34,male,2024-06-30,21,21,1,USD,1.22641067,"7-day click",,,,21,58.40050814,12,,,12,,,0.10220089,,0.10220089,12,,,,,,0.10220089,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",35-44,female,2024-06-30,22,22,1,USD,0.41215441,"7-day click",1,0.41215441,4.54545455,22,18.73429117,9,,,9,,,0.04579493,,0.04579493,9,,,,,,0.04579493,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",35-44,male,2024-06-30,49,51,1.04081633,USD,1.32693614,"7-day click",1,1.32693614,1.96078431,51,26.0183556,34,,,34,1,,0.03902753,,0.03902753,32,,,,,,0.04146675,1,1.96078431,1.32693614,,,,,1,1.32693614,94.97,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",45-54,female,2024-06-30,37,42,1.13513514,USD,1.17614794,"7-day click",2,0.58807397,4.76190476,42,28.00352235,27,,,27,,,0.04356103,,0.04356103,27,1,1,1,,,0.04356103,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",45-54,male,2024-06-30,111,119,1.07207207,USD,2.81471302,"7-day click",,,,118,23.65305055,57,,,57,,,0.04938093,,0.04938093,57,1,,,,,0.04938093,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",45-54,unknown,2024-06-30,3,3,1,USD,0.1306831,"7-day click",,,,3,43.56103476,2,,,2,,,0.06534155,,0.06534155,2,,,,,,0.06534155,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",55-64,female,2024-06-30,85,89,1.04705882,USD,3.67923201,"7-day click",2,1.83961601,2.24719101,88,41.33968554,48,,,48,,,0.07665067,,0.07665067,47,,,,,,0.07828153,1,1.12359551,3.67923201,,,,,2,1.83961601,134.96,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",55-64,male,2024-06-30,109,120,1.10091743,USD,6.82567906,"7-day click",4,1.70641977,3.33333333,118,56.88065885,64,,,64,1,,0.10665124,,0.10665124,60,1,1,,,,0.11376132,3,2.5,2.27522635,,,,,3,2.27522635,284.91,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",55-64,unknown,2024-06-30,1,1,1,USD,0.03015764,"7-day click",,,,1,30.15763945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",65+,female,2024-06-30,63,70,1.11111111,USD,2.51313662,"7-day click",6,0.4188561,8.57142857,71,35.90195173,38,,,38,1,,0.06613517,,0.06613517,35,2,2,2,,,0.0718039,2,2.85714286,1.25656831,,,,,2,1.25656831,189.94,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",65+,male,2024-06-30,61,66,1.08196721,USD,3.44802344,"7-day click",4,0.86200586,6.06060606,66,52.24277945,38,,,38,,,0.09073746,,0.09073746,36,,,,,,0.09577843,2,3.03030303,1.72401172,,,,,2,1.72401172,189.94,,,,2024-04-01,2024-06-30
"VSL H2B1 - Vid - LP",65+,unknown,2024-06-30,1,1,1,USD,0.11057801,"7-day click",,,,1,110.57801132,1,,,1,,,0.11057801,,0.11057801,1,1,,,,,0.11057801,,,,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",18-24,female,2024-06-30,4,5,1.25,USD,0.08040591,"7-day click",,,,5,16.08118244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",18-24,male,2024-06-30,1,1,1,USD,,"7-day click",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",18-24,unknown,2024-06-30,1,1,1,USD,0.01005074,"7-day click",,,,1,10.05073902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",25-34,female,2024-06-30,22,29,1.31818182,USD,0.51258769,"7-day click",,,,29,17.6754376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",25-34,male,2024-06-30,9,9,1,USD,0.24121774,"7-day click",,,,9,26.80197073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",35-44,female,2024-06-30,42,57,1.35714286,USD,1.60811824,"7-day click",1,1.60811824,1.75438596,57,28.21260077,1,,,1,,,1.60811824,,1.60811824,,,,,,,,1,1.75438596,1.60811824,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",35-44,male,2024-06-30,24,28,1.16666667,USD,0.85431282,"7-day click",,,,28,30.51117204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",45-54,female,2024-06-30,98,130,1.32653061,USD,5.39724686,"7-day click",,,,130,41.51728351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",45-54,male,2024-06-30,40,53,1.325,USD,1.42720494,"7-day click",,,,53,26.92839512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",45-54,unknown,2024-06-30,1,1,1,USD,0.03015222,"7-day click",,,,1,30.15221707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",55-64,female,2024-06-30,157,206,1.31210191,USD,9.43764394,"7-day click",1,9.43764394,0.48543689,205,45.81380556,1,,,1,,,9.43764394,,9.43764394,,,,,,,,1,0.48543689,9.43764394,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",55-64,male,2024-06-30,99,137,1.38383838,USD,5.26658725,"7-day click",,,,136,38.44224269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",55-64,unknown,2024-06-30,1,1,1,USD,0.06030443,"7-day click",,,,1,60.30443415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",65+,female,2024-06-30,217,296,1.3640553,USD,15.50829032,"7-day click",3,5.16943011,1.01351351,293,52.39287269,3,,,3,,,5.16943011,,5.16943011,,,,,,,,3,1.01351351,5.16943011,,,,,2,7.75414516,79.98,,,,2024-04-01,2024-06-30
"All Products Collection - CP",65+,male,2024-06-30,90,116,1.28888889,USD,4.77410104,"7-day click",,,,115,41.15604342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"All Products Collection - CP",65+,unknown,2024-06-30,3,9,3,USD,0.35177587,"7-day click",1,0.35177587,11.11111111,9,39.08620732,1,,,1,,,0.35177587,,0.35177587,,,,,,,,1,11.11111111,0.35177587,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",18-24,female,2024-06-30,5,5,1,USD,0.1499908,"7-day click",,,,5,29.99815928,2,,,2,,,0.0749954,,0.0749954,2,,,,,,0.0749954,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",18-24,male,2024-06-30,5,5,1,USD,0.49996932,"7-day click",,,,5,99.99386428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",25-34,female,2024-06-30,15,20,1.33333333,USD,1.31991901,"7-day click",,,,20,65.99595042,11,,,11,,,0.11999264,,0.11999264,11,2,2,1,1,1,0.11999264,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",25-34,male,2024-06-30,18,26,1.44444444,USD,1.20992576,"7-day click",2,0.60496288,7.69230769,26,46.53560607,8,,,8,,,0.15124072,,0.15124072,6,4,1,1,1,1,0.20165429,2,7.69230769,0.60496288,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",35-44,female,2024-06-30,31,35,1.12903226,USD,2.41985152,"7-day click",1,2.41985152,2.85714286,35,69.13861473,14,,,14,1,,0.17284654,,0.17284654,13,4,1,1,1,1,0.18614242,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",35-44,male,2024-06-30,48,53,1.10416667,USD,2.85982452,"7-day click",1,2.85982452,1.88679245,53,53.95895318,12,,,12,,,0.23831871,,0.23831871,11,1,,,,,0.25998405,1,1.88679245,2.85982452,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",35-44,unknown,2024-06-30,2,2,1,USD,0.20998711,"7-day click",,,,2,104.99355749,1,,,1,,,0.20998711,,0.20998711,1,,,,,,0.20998711,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",45-54,female,2024-06-30,94,111,1.18085106,USD,9.04944472,"7-day click",2,4.52472236,1.8018018,112,81.52652898,32,,,32,1,,0.28279515,,0.28279515,30,7,6,4,4,4,0.30164816,1,0.9009009,9.04944472,,,,,3,3.01648157,119.97,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",45-54,male,2024-06-30,211,246,1.16587678,USD,11.79927598,"7-day click",6,1.966546,2.43902439,247,47.96453652,64,,,64,,,0.18436369,,0.18436369,60,12,7,2,2,2,0.1966546,4,1.62601626,2.949819,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",45-54,unknown,2024-06-30,6,7,1.16666667,USD,1.06993435,"7-day click",,,,7,152.84776397,1,,,1,,,1.06993435,,1.06993435,1,,,,,,1.06993435,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",55-64,female,2024-06-30,291,330,1.13402062,USD,27.24832802,"7-day click",17,1.60284282,5.15151515,331,82.57069096,111,,,111,,1,0.24548043,,0.24548043,97,20,13,7,6,6,0.2809106,12,3.63636364,2.270694,1,27.24832802,,,2,13.62416401,69.98,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",55-64,male,2024-06-30,518,618,1.19305019,USD,28.47825255,"7-day click",11,2.58893205,1.77993528,620,46.0813148,182,,,182,,1,0.15647392,,0.15647392,176,28,12,5,6,6,0.16180825,5,0.80906149,5.69565051,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",55-64,unknown,2024-06-30,4,4,1,USD,1.0299368,"7-day click",,,,4,257.48420052,1,,,1,,,1.0299368,,1.0299368,1,,,,,,1.0299368,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",65+,female,2024-06-30,445,497,1.11685393,USD,37.74768376,"7-day click",36,1.04854677,7.24346076,498,75.95107397,215,,1,215,1,1,0.17557062,,0.17557062,190,40,19,11,10,8,0.19867202,21,4.22535211,1.79750875,3,12.58256125,,,1,37.74768376,29.99,1,37.74768376,75.64,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",65+,male,2024-06-30,468,547,1.16880342,USD,36.73774574,"7-day click",21,1.74941646,3.83912249,548,67.16224083,192,,,192,1,,0.19134243,,0.19134243,178,34,20,10,5,5,0.20639183,13,2.37659963,2.82598044,3,12.24591525,,,2,18.36887287,79.98,,,,2024-04-01,2024-06-30
"240104 V3 - Vid - LP - Copy",65+,unknown,2024-06-30,7,7,1,USD,1.13993005,"7-day click",,,,7,162.8471504,3,,,3,,,0.37997668,,0.37997668,3,,,,,,0.37997668,,,,,,,,,,,,,,2024-04-01,2024-06-30
"240104 V2 - Vid - CP - Copy",25-34,female,2024-06-30,2,5,2.5,USD,0.03,"7-day click",,,,5,6,2,,,2,,,0.015,,0.015,2,,,,,,0.015,,,,,,,,,,,,,,2024-04-01,2024-06-30
